,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
1316,SILVERFALLS SOLUTIONS INC,DATA ANALYST,"101,400","LINTHICUM, MD",04/07/2022,04/15/2022
1317,SILVERFALLS SOLUTIONS INC,DATA ANALYST,"101,400","LINTHICUM, MD",05/09/2022,05/17/2022
1318,ARNEX SOLUTIONS LLC,DATA ANALYST,"101,754","JERSEY CITY, NJ",05/26/2022,10/01/2022
1319,MINDSYS INC,DATA ANALYST,"101,754","BRIDGEWATER, NJ",05/31/2022,10/01/2022
1320,MINDSYS INC,DATA ANALYST,"101,754","CRANBURY, NJ",05/31/2022,10/01/2022
1321,MINDSYS INC,DATA ANALYST,"101,754","CRANBURY, NJ",06/21/2022,10/01/2022
1322,UNITED HEALTHCARE SERVICES INC,DATA ANALYST,"101,754","UNIONDALE, NY",03/18/2022,07/15/2022
1323,VARUNAVI IT CONSULTANTS INC,DATA ANALYST,"101,910","MERIDIAN, ID",06/20/2022,10/01/2022
1324,UNCOMMONGOODS LLC,DATA ANALYST,"102,000","BROOKLYN, NY",12/20/2022,05/20/2023
1325,ALPHA NET CONSULTING LLC,DATA ANALYST,"102,000","FREMONT, CA",10/21/2022,10/21/2022
1326,ISN SOFTWARE CORPORATION,DATA ANALYST,"102,000","DALLAS, TX",10/27/2022,11/18/2022
1327,ALPHA NET CONSULTING LLC,DATA ANALYST,"102,000","FREMONT, CA",10/25/2022,10/25/2022
1328,VMC SOFT TECHNOLOGIES INC,DATA ANALYST,"102,000","NEW YORK, NY",06/02/2022,10/01/2022
1329,WTANOW LLC,DATA ANALYST,"102,107","RICHMOND, VA",05/06/2022,10/01/2022
1330,WTANOW LLC,DATA ANALYST,"102,107","RICHMOND, VA",05/09/2022,10/01/2022
1331,PROMATES TECHNOLOGIES LLC,DATA ANALYST,"102,107","CHANTILLY, VA",06/03/2022,10/01/2022
1332,WTANOW LLC,DATA ANALYST,"102,107","RICHMOND, VA",06/13/2022,10/01/2022
1333,WTANOW LLC,DATA ANALYST,"102,107","RICHMOND, VA",06/13/2022,10/01/2022
1334,CONCORDANT LLC,DATA ANALYST,"102,107","LARAMIE, WY",06/14/2022,10/01/2022
1335,WAVESOFT SOLUTIONS INC,DATA ANALYST,"102,294","REDMOND, WA",05/10/2022,10/01/2022
1336,TEKINVADERZ LLC,DATA ANALYST,"102,294","KIRKLAND, WA",06/22/2022,10/01/2022
1337,ADP TECHNOLOGY SERVICES INC,DATA ANALYST,"102,482","NEW YORK, NY",07/18/2022,07/25/2022
1338,BRILLIO LLC,DATA ANALYST,"102,482","BASKING RIDGE, NJ",08/10/2022,09/06/2022
1339,3K TECHNOLOGIES LLC,DATA ANALYST,"102,482","JERSEY CITY, NJ",09/30/2022,10/07/2022
1340,AVCO CONSULTING INC,DATA ANALYST,"102,482","CHARLOTTE, NC",10/28/2022,11/07/2022
1341,GSSR INC,DATA ANALYST,"102,500","WHISPPANY, NJ",02/11/2022,02/11/2022
1342,ISOLVERS INC,DATA ANALYST,"102,500","STERLING, VA",06/01/2022,10/01/2022
1343,BITSIGHT TECHNOLOGIES INC,DATA ANALYST,"103,000","STAFFORD, VA",10/12/2022,10/12/2022
1344,BITSIGHT TECHNOLOGIES INC,DATA ANALYST,"103,000","OAKLAND, CA",08/02/2022,08/15/2022
1345,CELESDATA INC,DATA ANALYST,"103,000","RESTON, VA",04/19/2022,05/02/2022
1346,DATA AFFECT LLC,DATA ANALYST,"103,000","BRAMBLETON, VA",04/20/2022,10/01/2022
1347,FREEDOM FINANCIAL ASSET MANAGEMENT LLC,DATA ANALYST,"103,000","TEMPE, AZ",02/17/2022,03/07/2022
1348,BITSIGHT TECHNOLOGIES INC,DATA ANALYST,"103,000","OAKLAND, CA",09/01/2022,09/01/2022
1349,PITNEY BOWES INC,DATA ANALYST,"103,000","EULESS, TX",04/22/2022,10/01/2022
1350,FREEDOM FINANCIAL NETWORK FUNDING LLC,DATA ANALYST,"103,000","TEMPE, AZ",05/16/2022,08/22/2022
1351,DOXIMITY INC,DATA ANALYST,"103,002","SAN FRANCISCO, CA",06/28/2022,10/10/2022
1352,DOXIMITY INC,DATA ANALYST,"103,002","SAN FRANCISCO, CA",04/06/2022,10/01/2022
1353,DOXIMITY INC,DATA ANALYST,"103,002","SAN FRANCISCO, CA",04/19/2022,10/01/2022
1354,INMYSHOW USA INC,DATA ANALYST,"103,002","HAYWARD, CA",04/29/2022,10/01/2022
1355,INMYSHOW USA INC,DATA ANALYST,"103,002","HAYWARD, CA",05/08/2022,10/01/2022
1356,TEXTNOW INC,DATA ANALYST,"103,002","ATLANTA, GA",06/23/2022,07/11/2022
1357,ENTEGRIS INC,DATA ANALYST,"103,022","ROUND ROCK, TX",06/09/2022,06/27/2022
1358,ENTEGRIS INC,DATA ANALYST,"103,022","ROUND ROCK, TX",06/09/2022,06/27/2022
1359,PROGRESSIVE CASUALTY INSURANCE COMPANY,DATA ANALYST,"103,100","FREMONT, CA",03/21/2022,04/10/2022
1360,WISER SOLUTIONS INC,DATA ANALYST,"103,105","REDLANDS, CA",04/13/2022,10/01/2022
1361,INBIZ CONCEPTS INC,DATA ANALYST,"103,189","JOHNSTON, RI",08/12/2022,09/12/2022
1362,JPMORGAN CHASE & CO,DATA ANALYST,"103,200","LISLE, IL",09/20/2022,10/01/2022
1363,JPMORGAN CHASE & CO,DATA ANALYST,"103,200","LISLE, IL",09/26/2022,10/01/2022
1364,FIGG INC,DATA ANALYST,"103,200","LISLE, IL",05/26/2022,10/01/2022
1365,COLSH CONSULTANTS LLC,DATA ANALYST,"103,480","MINNETONKA, MN",10/28/2022,11/07/2022
1366,EMD MILLIPORE CORPORATION,DATA ANALYST,"103,683","BURLINGTON, MA",05/04/2022,10/01/2022
1367,IGT TECHNOLOGIES INC,DATA ANALYST,"103,709","HOUSTON, TX",05/26/2022,06/01/2022
1368,INFOGAIN CORPORATION,DATA ANALYST,"103,841","WHEELING, IL",04/20/2022,04/26/2022
1369,RANDSTAD TECHNOLOGIES LLC,DATA ANALYST,"104,000","JERSEY CITY, NJ",04/21/2022,10/01/2022
1370,CURATE PARTNERS LLC,DATA ANALYST,"104,000","WOONSOCKET, RI",05/10/2022,10/01/2022
1371,MICROSOFT CORPORATION,DATA ANALYST,"104,200","REDMOND, WA",03/15/2022,03/22/2022
1372,MICROSOFT CORPORATION,DATA ANALYST,"104,200","BELLEVUE, WA",03/17/2022,03/24/2022
1373,DATANORMUS LLC,DATA ANALYST,"104,250","RICHMOND, VA",08/04/2022,08/15/2022
1374,RYZLINK CORP,DATA ANALYST,"104,291","SAN JOSE, CA",06/14/2022,10/01/2022
1375,UMLAUT INC,DATA ANALYST,"104,300","SANTA ANA, CA",04/14/2022,09/10/2022
1376,UBER TECHNOLOGIES INC,DATA ANALYST,"104,374","SEATTLE, WA",03/31/2022,09/25/2022
1377,STRIPE INC,DATA ANALYST,"104,374","SEATTLE, WA",02/02/2022,02/07/2022
1378,NVIDIA CORPORATION,DATA ANALYST,"104,400","AZUSA, CA",05/18/2022,05/31/2022
1379,CLIMATE LLC,DATA ANALYST,"104,700","SAN FRANCISCO, CA",04/21/2022,10/01/2022
1380,CITIUSTECH INC,DATA ANALYST,"105,000","CONSHOHOCKEN, PA",11/11/2022,11/21/2022
1381,ZETA GLOBAL CORP,DATA ANALYST,"105,000","BOCA RATON, FL",10/11/2022,10/24/2022
1382,KNOTCH INC,DATA ANALYST,"105,000","MEMPHIS, TN",03/08/2022,03/21/2022
1383,SUREIFY LABS INC,DATA ANALYST,"105,000","LINCOLN, NE",01/11/2022,01/17/2022
1384,SOFTSENSOR AI LLC,DATA ANALYST,"105,000","HOUSTON, TX",01/20/2022,01/31/2022
1385,KNOTCH INC,DATA ANALYST,"105,000","MEMPHIS, TN",03/02/2022,03/14/2022
1386,RESONATE NETWORKS INC,DATA ANALYST,"105,000","CANTON, MI",09/27/2022,11/01/2022
1387,WE WORK MANAGEMENT LLC,DATA ANALYST,"105,000","NEW YORK, NY",04/27/2022,05/31/2022
1388,GLOBAL IT INC,DATA ANALYST,"105,000","SAN JOSE, CA",05/25/2022,10/01/2022
1389,STORD INC,DATA ANALYST,"105,000","SUNNYVALE, CA",06/07/2022,06/13/2022
1390,RISKSPAN INC,DATA ANALYST,"105,000","ARLINGTON, VA",06/10/2022,06/13/2022
1391,GENERAL MOTORS COMPANY,DATA ANALYST,"105,854","WARREN, MI",04/04/2022,04/25/2022
1392,GENERAL MOTORS COMPANY,DATA ANALYST,"105,854","WARREN, MI",04/20/2022,04/25/2022
1393,GENERAL MOTORS COMPANY,DATA ANALYST,"105,854","WARREN, MI",04/27/2022,05/09/2022
1394,GENERAL MOTORS COMPANY,DATA ANALYST,"105,854","WARREN, MI",04/27/2022,05/09/2022
1395,ATOS SYNTEL INC,DATA ANALYST,"105,961","EL DORADO HILLS, CA",03/23/2022,09/05/2022
1396,NJS ASSOCIATES COMPANY,DATA ANALYST,"106,000","WALTHAM, MA",04/07/2022,10/01/2022
1397,VMC SOFT TECHNOLOGIES INC,DATA ANALYST,"106,819","SUNNYVALE, CA",04/14/2022,10/01/2022
1398,THE ALIGNED COMPANY,DATA ANALYST,"107,000","LOS ANGELES, CA",07/21/2022,08/08/2022
1399,ZIONS BANCORPORATION NA,DATA ANALYST,"107,000","MIDVALE, UT",03/28/2022,09/23/2022
1400,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD,DATA ANALYST,"107,390","MENLO PARK, CA",09/28/2022,02/10/2023
1401,CIGNUS SOLUTIONS LLC,DATA ANALYST,"107,515","O'FALLON, MO",06/20/2022,06/20/2022
1402,CITCON USA LLC,DATA ANALYST,"108,000","SANTA CLARA, CA",10/28/2022,11/01/2022
1403,META PLATFORMS INC,DATA ANALYST,"108,047","AUSTIN, TX",11/03/2022,05/05/2023
1404,AVCO CONSULTING INC,DATA ANALYST,"108,181","BOSTON, MA",10/26/2022,11/07/2022
1405,BYTEWARE INC,DATA ANALYST,"108,600","INDIANAPOLIS, IN",09/15/2022,10/01/2022
1406,CISCO SYSTEMS INC,DATA ANALYST,"108,826","SAN JOSE, CA",03/16/2022,03/21/2022
1407,INFO WAY SOLUTIONS LLC,DATA ANALYST,"108,826","SAN JOSE, CA",01/19/2022,01/21/2022
1408,INFO WAY SOLUTIONS LLC,DATA ANALYST,"108,826","SAN JOSE, CA",01/21/2022,01/21/2022
1409,SERVICENOW INC,DATA ANALYST,"108,826","SANTA CLARA, CA",02/10/2022,08/05/2022
1410,PELOTON INTERACTIVE INC,DATA ANALYST,"108,826","NEW YORK, NY",04/27/2022,10/01/2022
1411,ALPHA NET CONSULTING LLC,DATA ANALYST,"109,000","REDWOOD CITY, CA",07/22/2022,07/22/2022
1412,ALPHA NET CONSULTING LLC,DATA ANALYST,"109,000","FREMONT, CA",10/21/2022,10/21/2022
1413,ALPHA NET CONSULTING LLC,DATA ANALYST,"109,000","FREMONT, CA",08/19/2022,08/22/2022
1414,ALPHA NET CONSULTING LLC,DATA ANALYST,"109,000","FREMONT, CA",10/25/2022,10/25/2022
1415,ADVI HEALTH LLC,DATA ANALYST,"109,000","AUSTIN, TX",03/29/2022,04/18/2022
1416,ALPHA NET CONSULTING LLC,DATA ANALYST,"109,000","REDWOOD CITY, CA",04/05/2022,04/30/2022
1417,ALPHA NET CONSULTING LLC,DATA ANALYST,"109,000","REDWOOD CITY, CA",04/07/2022,04/07/2022
1418,ALPHA NET CONSULTING LLC,DATA ANALYST,"109,000","FREMONT, CA",08/29/2022,08/29/2022
1419,AXON ENTERPRISE INC,DATA ANALYST,"109,000","DAVIE, FL",05/17/2022,10/01/2022
1420,SV IT INC,DATA ANALYST,"109,900","WAUKEGAN, IL",09/26/2022,09/26/2022
1421,SV IT INC,DATA ANALYST,"109,900","WAUKEGAN, IL",09/26/2022,09/26/2022
1422,FIRST REPUBLIC BANK,DATA ANALYST,"110,000","SAN FRANCISCO, CA",10/10/2022,10/24/2022
1423,USHUR INC,DATA ANALYST,"110,000","JERSEY CITY, NJ",04/13/2022,10/01/2022
1424,PSKW LLC,DATA ANALYST,"110,000","EDMONDS, WA",04/15/2022,05/07/2022
1425,KNOVVA ACADEMY INC,DATA ANALYST,"110,000","BOSTON, MA",02/08/2022,08/06/2022
1426,CHARTMETRIC INC,DATA ANALYST,"110,000","SUNNYVALE, CA",02/15/2022,08/13/2022
1427,MOUNT SINAI HOSPITAL,DATA ANALYST,"110,000","NEW YORK, NY",12/13/2022,01/17/2023
1428,EPAM SYSTEMS INC,DATA ANALYST,"110,000","DALLAS, TX",05/03/2022,10/01/2022
1429,ONETRUST LLC,DATA ANALYST,"110,000","SANDY SPRINGS, GA",05/09/2022,10/01/2022
1430,ALLAZO HEALTH CORP,DATA ANALYST,"110,000","NEW YORK CITY, NY",05/11/2022,05/11/2022
1431,ALPHA NET CONSULTING LLC,DATA ANALYST,"110,000","FREMONT, CA",05/17/2022,05/23/2022
1432,AGRIM TECHNOLOGIES INC,DATA ANALYST,"110,000","SAN JOSE, CA",06/01/2022,10/01/2022
1433,CEPHEID,DATA ANALYST,"110,000","LODI, CA",06/06/2022,10/01/2022
1434,BYOND INC,DATA ANALYST,"110,000","IRVING, TX",06/17/2022,07/05/2022
1435,BYOND INC,DATA ANALYST,"110,000","IRVING, TX",06/17/2022,07/05/2022
1436,KAIROS TECHNOLOGIES INC,DATA ANALYST,"110,240","STERLING, VA",11/21/2022,11/24/2022
1437,THOUGHTWAVE SOFTWARE & SOLUTIONS INC,DATA ANALYST,"110,240","AURORA, IL",10/01/2022,10/01/2022
1438,INSPUR USA INC,DATA ANALYST,"110,400","BELLEVUE, WA",02/07/2022,08/07/2022
1439,TEKORG INC,DATA ANALYST,"110,510","MALVERN, PA",11/29/2022,01/16/2023
1440,ALPHA NET CONSULTING LLC,DATA ANALYST,"111,000","SANTA CLARA, CA",03/21/2022,03/21/2022
1441,ALPHA NET CONSULTING LLC,DATA ANALYST,"111,000","FREMONT, CA",06/20/2022,06/27/2022
1442,ALPHA NET CONSULTING LLC,DATA ANALYST,"111,000","FREMONT, CA",06/22/2022,06/27/2022
1443,DGN TECHNOLOGIES INC,DATA ANALYST,"112,000","AUSTIN, TX",10/26/2022,11/08/2022
1444,TELESIGN CORPORATION,DATA ANALYST,"112,000","DALLAS, TX",01/31/2022,03/07/2022
1445,POINT72 LP,DATA ANALYST,"112,112","NEW YORK, NY",03/23/2022,03/30/2022
1446,CLEYRA INC,DATA ANALYST,"112,632","IRVING, TX",07/29/2022,08/15/2022
1447,FREEDOM FINANCIAL ASSET MANAGEMENT LLC,DATA ANALYST,"113,000","TEMPE, AZ",08/18/2022,09/26/2022
1448,FREEDOM FINANCIAL NETWORK FUNDING LLC,DATA ANALYST,"113,000","TEMPE, AZ",10/31/2022,01/07/2023
1449,UBER TECHNOLOGIES INC,DATA ANALYST,"113,755","SAN FRANCISCO, CA",03/30/2022,09/25/2022
1450,BOLT FINANCIAL INC,DATA ANALYST,"114,892","SAN JOSE, CA",12/22/2022,06/10/2023
1451,BOLT FINANCIAL INC,DATA ANALYST,"114,892","SAN FRANCISCO, CA",12/12/2022,06/10/2023
1452,CONFLUX SYSTEMS INC,DATA ANALYST,"114,899","SANTA CLARA, CA",05/23/2022,10/01/2022
1453,SMARTSHEET INC,DATA ANALYST,"115,000","BELLEVUE, WA",07/13/2022,08/08/2022
1454,D2C STORES INC,DATA ANALYST,"115,000","QUINCY, MA",07/05/2022,07/18/2022
1455,BLOCK INC,DATA ANALYST,"115,000","NEW YORK, NY",03/09/2022,03/14/2022
1456,FUELCOMM INC,DATA ANALYST,"115,000","SEATTLE, WA",03/18/2022,08/10/2022
1457,CASTLIGHT HEALTH INC,DATA ANALYST,"115,000","SAN FRANCISCO, CA",03/29/2022,08/21/2022
1458,PREMISE DATA CORPORATION,DATA ANALYST,"115,000","WASHINGTON, DC",04/13/2022,10/01/2022
1459,BITGO INC,DATA ANALYST,"115,000","PALO ALTO, CA",01/12/2022,01/19/2022
1460,ACE AMERICAN INSURANCE COMPANY,DATA ANALYST,"115,000","JERSEY CITY, NJ",02/03/2022,02/21/2022
1461,SHOW ME LEADS INC,DATA ANALYST,"115,000","AUSTIN, TX",02/03/2022,02/14/2022
1462,AUTODESK INC,DATA ANALYST,"115,000","BOSTON, MA",02/15/2022,08/15/2022
1463,ROIVANT SCIENCES INC,DATA ANALYST,"115,000","BOSTON, MA",05/12/2022,10/01/2022
1464,ANIKA SYSTEMS INC,DATA ANALYST,"115,000","HAMPTON, VA",06/03/2022,06/13/2022
1465,GOOGLE LLC,DATA ANALYST,"115,000","ATLANTA, GA",06/13/2022,06/20/2022
1466,INVESCO GROUP SERVICES INC,DATA ANALYST,"115,000","ATLANTA, GA",06/17/2022,07/01/2022
1467,MUFG UNION BANK NA,DATA ANALYST,"115,000","TEMPE, AZ",06/22/2022,09/06/2022
1468,SRI INTERNATIONAL,DATA ANALYST,"115,078","MENLO PARK, CA",05/18/2022,05/20/2022
1469,BRILLIO LLC,DATA ANALYST,"115,440","BASKING RIDGE, NJ",07/18/2022,07/25/2022
1470,BRILLIO LLC,DATA ANALYST,"115,440","BASKING RIDGE, NJ",07/07/2022,07/14/2022
1471,BRILLIO LLC,DATA ANALYST,"115,440","BASKING RIDGE, NJ",07/18/2022,07/25/2022
1472,MICROSOFT CORPORATION,DATA ANALYST,"115,500","JERSEY CITY, NJ",03/25/2022,05/01/2022
1473,DASH TECHNOLOGIES INC,DATA ANALYST,"116,043","MILPITAS, CA",04/12/2022,04/25/2022
1474,PALVAI GLOBAL SERVICES INC,DATA ANALYST,"116,043","SAN JOSE, CA",04/13/2022,10/01/2022
1475,EDRIVING LLC,DATA ANALYST,"116,043","SAN JOSE, CA",04/19/2022,09/19/2022
1476,INFOGAIN CORPORATION,DATA ANALYST,"116,043","SAN JOSE, CA",04/19/2022,10/01/2022
1477,DASH TECHNOLOGIES INC,DATA ANALYST,"116,043","MILPITAS, CA",04/20/2022,04/25/2022
1478,ROOTSHELL ENTERPRISE TECHNOLOGIES INC,DATA ANALYST,"116,043","MOUNTAIN VIEW, CA",05/09/2022,10/01/2022
1479,SACROSANCTINFO LLC,DATA ANALYST,"116,043","MOUNTAIN VIEW, CA",05/19/2022,10/01/2022
1480,INFOGAIN CORPORATION,DATA ANALYST,"116,043","SAN FRANCISCO, CA",05/25/2022,10/01/2022
1481,DASH TECHNOLOGIES INC,DATA ANALYST,"116,043","MILPITAS, CA",05/27/2022,06/13/2022
1482,MICROSOFT CORPORATION,DATA ANALYST,"116,150","SAN FRANCISCO, CA",03/31/2022,05/01/2022
1483,IHS GLOBAL INC,DATA ANALYST,"116,272","CONCORD, NC",03/11/2022,09/08/2022
1484,REDSOURCE TECHNOLOGIES INC,DATA ANALYST,"116,400","SAN JOSE, CA",12/05/2022,02/28/2023
1485,EPAM SYSTEMS INC,DATA ANALYST,"117,000","SAN JOSE, CA",11/29/2022,05/18/2023
1486,REI SYSTEMS INC,DATA ANALYST,"117,000","FRISCO, TX",06/13/2022,06/13/2022
1487,OPENDOOR LABS INC,DATA ANALYST,"118,000","SAN FRANCISCO, CA",03/11/2022,04/11/2022
1488,BLOCK INC,DATA ANALYST,"118,000","ASHBURN, VA",04/01/2022,04/11/2022
1489,FIRST REPUBLIC BANK,DATA ANALYST,"118,000","SAN FRANCISCO, CA",04/04/2022,09/30/2022
1490,OPENDOOR LABS INC,DATA ANALYST,"118,000","SAN FRANCISCO, CA",03/02/2022,04/11/2022
1491,CONSTANT CONTACT INC,DATA ANALYST,"118,000","SUNNYVALE, CA",05/25/2022,06/27/2022
1492,OPTUM SERVICES INC,DATA ANALYST,"118,082","LOUISVILLE, KY",05/16/2022,11/12/2022
1493,HP INC,DATA ANALYST,"118,248","SAN DIEGO, CA",04/04/2022,08/29/2022
1494,HP INC,DATA ANALYST,"118,248","SAN DIEGO, CA",04/04/2022,04/11/2022
1495,UBER TECHNOLOGIES INC,DATA ANALYST,"118,700","NEW YORK, NY",03/10/2022,03/17/2022
1496,SNOWFLAKE INC,DATA ANALYST,"118,800","SAN MATEO, CA",02/25/2022,08/08/2022
1497,PULSEPOINT INC,DATA ANALYST,"118,893","NEW YORK, NY",04/13/2022,10/01/2022
1498,PULSEPOINT INC,DATA ANALYST,"118,893","NEW YORK, NY",04/20/2022,10/01/2022
1499,SANOFI US SERVICES INC,DATA ANALYST,"118,893","BRIDGEWATER, NJ",06/06/2022,06/27/2022
1500,MICROSOFT CORPORATION,DATA ANALYST,"119,600","NEW YORK, NY",04/21/2022,10/01/2022
1501,6SENSE INSIGHTS INC,DATA ANALYST,"120,000","SAN FRANCISCO, CA",11/30/2022,01/01/2023
1502,ZETA GLOBAL CORP,DATA ANALYST,"120,000","SUMMIT, NJ",07/14/2022,07/25/2022
1503,CSCGH SHARED SERVICES LLC,DATA ANALYST,"120,000","CAMBRIDGE, MA",07/08/2022,08/10/2022
1504,GALAXY I TECHNOLOGIES INC,DATA ANALYST,"120,000","HOUSTON, TX",08/08/2022,08/29/2022
1505,ZETA GLOBAL CORP,DATA ANALYST,"120,000","MARINA DEL REY, CA",10/11/2022,10/17/2022
1506,RNBW HOLDINGS LLC,DATA ANALYST,"120,000","SAN JOSE, CA",08/17/2022,10/01/2022
